source,smiles,similarity,qed,sa,ds,epoch,mean_score,mean_score1
,Cc1ccc(C(=O)NO)cc1NCc1ccccc1,-1.0,0.5819716608122717,1.6970515076270836,-7.367,0,-7.367,0.5819716608122717
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1NCc1ccccc1,0.814317673378076,0.4455759387211141,1.6874309948065687,-7.426,1,-7.349,0.4729847383845136
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1COc1ccccc1,0.25972006220839816,0.5003935380479131,1.732456635832209,-7.272,1,-7.349,0.4729847383845136
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1NCc1ccccc1,0.814317673378076,0.4455759387211141,1.6874309948065687,-7.426,2,-7.2876666666666665,0.46433590443230943
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NN)cc1CNc1ccccc1,0.45880149812734083,0.4455759387211141,1.7932822768578518,-7.268,2,-7.2876666666666665,0.46433590443230943
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Fc1ccc(C(=O)NN)cc1COc1ccccc1,0.6627450980392157,0.5018558358547001,1.7629361230116949,-7.169,2,-7.2876666666666665,0.46433590443230943
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1NCc1ccccc1,0.814317673378076,0.4455759387211141,1.6874309948065687,-7.426,3,-6.9774,0.612698572925677
Cc1ccc(C(=O)NN)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1COc1ccccc1,0.31766612641815234,0.5003935380479131,1.732456635832209,-7.272,3,-6.9774,0.612698572925677
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NN)cc1CNc1ccccc1,0.45880149812734083,0.4455759387211141,1.7932822768578518,-7.268,3,-6.9774,0.612698572925677
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Fc1ccc(C(=O)NN)cc1COc1ccccc1,0.6627450980392157,0.5018558358547001,1.7629361230116949,-7.169,3,-6.9774,0.612698572925677
Cc1ccc(C(=O)NN)cc1CNc1ccccc1,Fc1ccc(C(=O)NN)cc1CNc1ccccc1,0.6431535269709544,0.44696310579583515,1.8132386871142607,-7.041,3,-6.9774,0.612698572925677
Fc1ccc(C(=O)NN)cc1COc1ccccc1,NSC(=O)c1ccc(F)c(COc2ccccc2)c1,0.6399253731343284,0.8721916506263454,2.2332207383963123,-6.763,3,-6.9774,0.612698572925677
Cc1ccc(C(=O)NN)cc1CNc1ccccc1,Nc1ccc(C(=O)NN)cc1CNc1ccccc1,0.6797385620915033,0.28839912138491397,1.9183130460886204,-6.742,3,-6.9774,0.612698572925677
Fc1ccc(C(=O)NN)cc1COc1ccccc1,NCC(=O)c1ccc(F)c(COc2ccccc2)c1,0.6351851851851852,0.839433211740807,1.8475745845501574,-6.712,3,-6.9774,0.612698572925677
Fc1ccc(C(=O)NN)cc1COc1ccccc1,NC(=O)Nc1ccc(F)c(COc2ccccc2)c1,0.4362745098039216,0.8873005198386276,1.719972020447596,-6.711,3,-6.9774,0.612698572925677
Fc1ccc(C(=O)NN)cc1COc1ccccc1,N/C(=O)c1ccc(F)c(COc2ccccc2)c1,0.9117647058823529,0.8992968685253999,1.6318045662634084,-6.67,3,-6.9774,0.612698572925677
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1NCc1ccccc1,0.814317673378076,0.4455759387211141,1.6874309948065687,-7.426,4,-6.999899999999999,0.6075034604656274
Cc1ccc(C(=O)NN)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1COc1ccccc1,0.31766612641815234,0.5003935380479131,1.732456635832209,-7.272,4,-6.999899999999999,0.6075034604656274
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NN)cc1CNc1ccccc1,0.45880149812734083,0.4455759387211141,1.7932822768578518,-7.268,4,-6.999899999999999,0.6075034604656274
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Fc1ccc(C(=O)NN)cc1COc1ccccc1,0.6627450980392157,0.5018558358547001,1.7629361230116949,-7.169,4,-6.999899999999999,0.6075034604656274
Cc1ccc(C(=O)NN)cc1CNc1ccccc1,Fc1ccc(C(=O)NN)cc1CNc1ccccc1,0.6431535269709544,0.44696310579583515,1.8132386871142607,-7.041,4,-6.999899999999999,0.6075034604656274
NSC(=O)c1ccc(F)c(COc2ccccc2)c1,OCC(=O)c1ccc(F)c(COc2ccccc2)c1,0.62708719851577,0.8403857160326964,1.8238822768578515,-6.84,4,-6.999899999999999,0.6075034604656274
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)N)=Cc1COc1ccccc1,0.9039408866995073,0.8942605477308352,1.5995321680733632,-6.766,4,-6.999899999999999,0.6075034604656274
Fc1ccc(C(=O)NN)cc1COc1ccccc1,NSC(=O)c1ccc(F)c(COc2ccccc2)c1,0.6399253731343284,0.8721916506263454,2.2332207383963123,-6.763,4,-6.999899999999999,0.6075034604656274
Cc1ccc(C(=O)NN)cc1CNc1ccccc1,Nc1ccc(C(=O)NN)cc1CNc1ccccc1,0.6797385620915033,0.28839912138491397,1.9183130460886204,-6.742,4,-6.999899999999999,0.6075034604656274
Fc1ccc(C(=O)NN)cc1COc1ccccc1,NCC(=O)c1ccc(F)c(COc2ccccc2)c1,0.6351851851851852,0.839433211740807,1.8475745845501574,-6.712,4,-6.999899999999999,0.6075034604656274
