smiles,ic50,cluster
NCc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,66.0,6
NCc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,208.0,0
NCCOc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,1680.0,12
O=C(NCc1cccc(O)c1)c1ccc2c(c1)OCc1cnccc1-2,0.81,3
O=C(NCc1ccc(O)cc1)c1ccc2c(c1)OCc1cnccc1-2,38.1,3
OCc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,588.0,0
OCCCOc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,274.0,12
O=C(NC1CC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,1.8,15
O=C(NC1CCC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,1.01,15
O=C(NC1CCCC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,0.87,15
O=C(NC1CCCC1)c1cccc([C@@H](CO)NC(=O)c2cccc(-c3ccncc3)c2)c1,4.1,15
O=C(NC1CCCCC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,1.5,15
O=C(NC1CCC(F)(F)CC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,0.66,15
O=C(NC1CCN(C2CC2)CC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,0.54,15
O=C(NCC1CC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,1.2,14
O=C(NCC1CCC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,0.6,14
O=C(NCC1CCCC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,0.72,14
O=C(NCC1CCCCC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,1.0,14
O=C(NCC1CCC(F)(F)CC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,1.2,14
O=C(NCC1CCN(C2CC2)CC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,0.44,14
O=C(NCC1CCOCC1)c1cccc([C@@H](CO)NC(=O)c2ccc(-c3ccncc3)cc2)c1,0.57,14
O=C(COc1ccc2c(=O)ccoc2c1)Nc1cccc(NC(=O)c2ccccc2)c1,16.0,6
N#Cc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,15.0,6
OCCOc1cccc(CN2CCC(Nc3ccc4[nH]ncc4c3)C2)c1,651.0,12
OCCOc1cccc(CN2CCC(Nc3ccc4[nH]ncc4c3)CC2)c1,2710.0,12
OCCOc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,328.0,12
OCCOc1cccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)c1,354.0,12
OCCOc1cccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)c1,406.0,12
OCCOc1cccc(CN2CC[C@@H](Nc3ccc4[nH]ncc4c3)C2)c1,1300.0,12
OCCOc1cccc(CN2CC[C@H](Nc3ccc4[nH]ncc4c3)C2)c1,466.0,12
OCCOc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,2410.0,12
O=C(NC1CC1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,45.0,2
O=C(Nc1ccc2[nH]ncc2c1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,46.0,2
O=C(Nc1ccccc1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,382.0,2
O=C(Nc1ccc(-c2cn[nH]c2)cc1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,71.0,2
O=C(Nc1ccccn1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,465.0,2
O=C(Nc1cccnc1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,63.0,2
O=C(Nc1ccncc1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,16.0,2
O=C(Nc1ccncn1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,210.0,2
O=C(Nc1ccnnc1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,88.0,2
O=C(Nc1cnc2[nH]ccc2c1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,62.0,2
O=C(Nc1cnccn1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,54.0,2
O=C(Nc1cn[nH]c1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,30.0,2
O=C(Nc1cnoc1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,25.0,2
O=C(Nc1nncs1)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,134.0,2
O=C(NCc1ccccc1)c1ccc2c(c1)OCc1cnccc1-2,29.4,3
O=C(NCc1cccc(-c2ccccc2)c1)c1ccc2c(c1)OCc1cnccc1-2,1370.0,3
O=C(NCc1cccc(Oc2ccccc2)c1)c1ccc2c(c1)OCc1cnccc1-2,17.5,3
O=C(NCc1cccnc1)c1ccc2c(c1)OCc1cnccc1-2,199.0,3
O=C(NCc1ccncc1)c1ccc2c(c1)OCc1cnccc1-2,177.0,3
O=C(NCCc1ccccc1)c1ccc2c(c1)OCc1cnccc1-2,49.1,3
O=C(COc1ccc2c(=O)ccoc2c1)Nc1cccc(NC(=O)c2ccc(C(=O)O)cc2)c1,2027.0,6
O=C(O)c1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,25.5,3
OC(O)COc1cccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)c1,323.0,12
